epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2979,1.5594,2.53564,1.29943,0.47145,0.61181,0.45489,0.2469,1.53297,1.4548,1.2964,0.00054409,0.00054409,0.00054409
2,51.9541,1.41096,1.35075,1.21106,0.43394,0.42958,0.43075,0.2462,1.45577,1.51449,1.31358,0.00107798,0.00107798,0.00107798
3,74.5242,1.45113,1.28683,1.24416,0.43031,0.54881,0.43951,0.25634,1.39977,1.35943,1.24905,0.00158987,0.00158987,0.00158987
4,97.6728,1.43632,1.24255,1.24881,0.31152,0.33425,0.28253,0.14938,1.70646,2.07623,1.44118,0.00156798,0.00156798,0.00156798
5,120.433,1.39632,1.1595,1.22264,0.49684,0.60158,0.48187,0.27877,1.45815,1.29516,1.34269,0.00153497,0.00153497,0.00153497
6,142.625,1.3947,1.12499,1.22655,0.46509,0.56045,0.4746,0.273,1.40044,1.22607,1.27055,0.00150197,0.00150197,0.00150197
7,165.525,1.4105,1.10248,1.2276,0.3824,0.63099,0.50641,0.30359,1.361,1.11503,1.22164,0.00146896,0.00146896,0.00146896
8,187.591,1.36277,1.07273,1.20147,0.52157,0.6361,0.53414,0.32727,1.28138,1.08176,1.17629,0.00143595,0.00143595,0.00143595
9,210.802,1.35838,1.05231,1.19142,0.47617,0.60201,0.50826,0.31027,1.32998,1.08545,1.18643,0.00140295,0.00140295,0.00140295
10,234.539,1.32232,1.01944,1.17538,0.50185,0.54255,0.51516,0.31994,1.34876,1.0738,1.21468,0.00136994,0.00136994,0.00136994
11,261.364,1.32575,1.01319,1.18285,0.5113,0.62026,0.51077,0.3234,1.27381,1.10437,1.17516,0.00133693,0.00133693,0.00133693
12,283.285,1.27281,0.98688,1.16311,0.41998,0.7314,0.51387,0.32842,1.25368,1.02709,1.16216,0.00130393,0.00130393,0.00130393
13,306.251,1.31316,0.96926,1.17963,0.48823,0.64034,0.53165,0.33216,1.30776,1.02138,1.1977,0.00127092,0.00127092,0.00127092
14,329.294,1.27864,0.94388,1.1599,0.44653,0.71878,0.51559,0.31979,1.27732,0.99041,1.15659,0.00123791,0.00123791,0.00123791
15,356.106,1.26415,0.92709,1.15039,0.48103,0.61023,0.50548,0.32419,1.22896,1.01246,1.13557,0.00120491,0.00120491,0.00120491
16,378.179,1.24652,0.93076,1.14728,0.51877,0.63768,0.53436,0.35257,1.21286,1.00999,1.13554,0.0011719,0.0011719,0.0011719
17,401.34,1.28193,0.94475,1.15873,0.50565,0.62904,0.51396,0.33249,1.2314,1.10373,1.13835,0.00113889,0.00113889,0.00113889
18,424.743,1.25733,0.88484,1.13645,0.45919,0.6454,0.51547,0.33506,1.2631,1.06588,1.14465,0.00110589,0.00110589,0.00110589
19,448.152,1.23807,0.88,1.15176,0.45365,0.64831,0.51946,0.34902,1.17242,1.04893,1.12026,0.00107288,0.00107288,0.00107288
20,474.935,1.22513,0.84071,1.15475,0.44202,0.68538,0.51397,0.34542,1.15546,1.0333,1.10114,0.00103987,0.00103987,0.00103987
21,498.091,1.1993,0.81608,1.11622,0.45817,0.77304,0.54019,0.35839,1.20155,1.04446,1.13733,0.00100687,0.00100687,0.00100687
22,521.37,1.2267,0.80166,1.13196,0.45046,0.70347,0.53087,0.35772,1.17637,0.96445,1.11803,0.000973861,0.000973861,0.000973861
23,543.833,1.20543,0.82436,1.12036,0.42571,0.69557,0.51798,0.35141,1.18358,1.00727,1.13352,0.000940855,0.000940855,0.000940855
24,570.773,1.18274,0.78799,1.12715,0.41429,0.66011,0.5081,0.33886,1.17234,1.04559,1.12041,0.000907848,0.000907848,0.000907848
25,592.998,1.13994,0.76836,1.09466,0.48367,0.67064,0.52328,0.3568,1.14925,1.03905,1.10813,0.000874842,0.000874842,0.000874842
26,615.266,1.14938,0.72738,1.10299,0.44764,0.6812,0.53085,0.3667,1.10857,1.04358,1.08963,0.000841835,0.000841835,0.000841835
27,637.711,1.1687,0.78707,1.10735,0.44427,0.59651,0.50978,0.35108,1.12626,1.04347,1.10065,0.000808828,0.000808828,0.000808828
28,660.292,1.15439,0.77218,1.10199,0.38402,0.69727,0.50423,0.3571,1.09137,1.03552,1.07625,0.000775822,0.000775822,0.000775822
29,687.431,1.12834,0.71458,1.08526,0.49547,0.67608,0.53057,0.37672,1.03735,1.04363,1.06124,0.000742815,0.000742815,0.000742815
30,710.865,1.13632,0.72665,1.09363,0.43313,0.73883,0.53679,0.38047,1.05653,0.96963,1.05663,0.000709809,0.000709809,0.000709809
31,737.859,1.10032,0.69863,1.07266,0.44577,0.70584,0.54527,0.3948,1.02066,1.02894,1.04399,0.000676802,0.000676802,0.000676802
32,760.097,1.09802,0.69201,1.06544,0.44597,0.71833,0.53545,0.3865,1.02678,1.00756,1.04286,0.000643795,0.000643795,0.000643795
33,783.086,1.07702,0.68602,1.06744,0.4347,0.70676,0.52913,0.38796,0.9747,1.04406,1.0282,0.000610789,0.000610789,0.000610789
34,806.585,1.04745,0.66919,1.04981,0.42351,0.76381,0.52917,0.38489,1.00393,1.03583,1.03548,0.000577782,0.000577782,0.000577782
35,831.272,1.06875,0.67897,1.07241,0.42295,0.6819,0.52028,0.37858,1.0086,1.04579,1.03377,0.000544776,0.000544776,0.000544776
36,855.058,1.06254,0.67439,1.04851,0.41629,0.68032,0.51962,0.38086,0.99741,1.14024,1.02947,0.000511769,0.000511769,0.000511769
37,882.212,1.0496,0.68136,1.06293,0.41996,0.69645,0.52383,0.38871,0.95939,1.07238,1.01194,0.000478762,0.000478762,0.000478762
38,904.895,1.01291,0.62858,1.04482,0.47829,0.65672,0.52363,0.38508,1.01474,1.16291,1.04277,0.000445756,0.000445756,0.000445756
39,928.226,1.03226,0.6399,1.04534,0.43756,0.69531,0.52121,0.39146,0.93781,1.13139,1.00581,0.000412749,0.000412749,0.000412749
40,950.469,0.9986,0.62032,1.03417,0.46287,0.72498,0.54362,0.41088,0.9187,1.05802,0.99786,0.000379743,0.000379743,0.000379743
41,1011.09,0.98331,0.57674,1.02813,0.45463,0.62554,0.50797,0.38214,0.95741,1.159,1.01381,0.000346736,0.000346736,0.000346736
42,1033.06,0.97768,0.55322,1.02611,0.42219,0.6589,0.51176,0.38181,0.94032,1.17649,1.00334,0.000313729,0.000313729,0.000313729
43,1054.67,0.95716,0.53055,1.03149,0.43577,0.68634,0.52647,0.40012,0.89963,1.11348,0.99176,0.000280723,0.000280723,0.000280723
44,1076.33,0.91793,0.52666,0.99072,0.45871,0.69242,0.52948,0.40399,0.90396,1.11172,0.99139,0.000247716,0.000247716,0.000247716
45,1098.04,0.93056,0.51141,1.00305,0.44432,0.65988,0.52817,0.40326,0.89128,1.15616,0.98455,0.00021471,0.00021471,0.00021471
46,1119.68,0.92539,0.50911,1.00838,0.4511,0.67589,0.52208,0.4034,0.87892,1.1852,0.98117,0.000181703,0.000181703,0.000181703
47,1146.09,0.91614,0.49896,0.99886,0.44824,0.66665,0.51854,0.40543,0.85201,1.18371,0.97229,0.000148696,0.000148696,0.000148696
48,1167.86,0.89078,0.49859,0.98603,0.44637,0.62504,0.51028,0.39972,0.82835,1.19401,0.96229,0.00011569,0.00011569,0.00011569
49,1189.49,0.88428,0.48968,0.98312,0.43707,0.64736,0.51332,0.40443,0.81339,1.17335,0.95929,8.26832e-05,8.26832e-05,8.26832e-05
50,1211.07,0.86718,0.47733,0.99131,0.4512,0.65274,0.51536,0.40613,0.81436,1.17133,0.96018,4.96766e-05,4.96766e-05,4.96766e-05
